Year,Name,Temperature,Humidity,Pressure,Wind
2018,Australian Grand Prix,24.1,36.2,997.1,3.0
2018,Bahrain Grand Prix,28.0,46.4,1009.2,1.5
2018,Chinese Grand Prix,19.0,21.2,1018.3,1.8
2018,Azerbaijan Grand Prix,17.2,46.1,1021.7,2.1
2018,Spanish Grand Prix,15.1,55.7,1001.8,1.1
2018,Monaco Grand Prix,25.3,52.5,1015.7,1.2
2018,Canadian Grand Prix,20.5,28.3,1018.1,2.2
2018,French Grand Prix,25.0,48.6,966.4,2.5
2018,Austrian Grand Prix,22.7,37.6,936.3,1.5
2018,British Grand Prix,26.6,40.0,1008.4,1.1
2018,German Grand Prix,26.8,50.7,1001.5,1.7
2018,Hungarian Grand Prix,34.2,34.3,983.9,0.5
2018,Belgian Grand Prix,17.2,38.7,967.3,1.1
2018,Italian Grand Prix,21.1,71.0,995.4,0.8
2018,Singapore Grand Prix,29.9,64.1,1007.1,1.8
2018,Russian Grand Prix,24.1,54.8,1016.4,0.6
2018,Japanese Grand Prix,28.6,49.4,1008.2,1.5
2018,United States Grand Prix,20.7,41.3,1007.0,2.4
2018,Mexican Grand Prix,19.2,53.9,785.1,2.3
2018,Brazilian Grand Prix,25.0,71.3,924.1,3.8
2018,Abu Dhabi Grand Prix,33.0,37.4,1012.6,0.7
2019,Australian Grand Prix,23.2,72.2,1015.5,0.9
2019,Bahrain Grand Prix,26.3,53.6,1003.7,3.0
2019,Chinese Grand Prix,19.5,43.9,1019.3,2.1
2019,Azerbaijan Grand Prix,19.9,50.1,1014.0,1.4
2019,Spanish Grand Prix,20.4,55.1,1007.1,1.3
2019,Monaco Grand Prix,22.6,50.3,1011.2,0.6
2019,Canadian Grand Prix,28.3,16.9,1022.7,0.6
2019,French Grand Prix,25.8,41.7,967.0,2.8
2019,Austrian Grand Prix,33.3,21.2,941.3,1.8
2019,British Grand Prix,17.9,67.6,1006.5,1.3
2019,German Grand Prix,21.0,87.9,991.1,0.8
2019,Hungarian Grand Prix,25.1,35.9,986.8,2.1
2019,Belgian Grand Prix,16.8,60.0,968.3,1.9
2019,Italian Grand Prix,19.7,58.2,989.6,0.0
2019,Singapore Grand Prix,30.0,70.7,1009.7,2.9
2019,Russian Grand Prix,22.0,66.7,1017.1,3.2
2019,Japanese Grand Prix,21.9,57.6,1009.0,5.3
2019,Mexican Grand Prix,22.4,48.4,781.5,1.5
2019,United States Grand Prix,20.8,27.6,1002.6,0.5
2019,Brazilian Grand Prix,21.2,60.2,925.2,1.3
2019,Abu Dhabi Grand Prix,27.6,54.6,1014.9,1.6
2020,Pre-Season Test 1,20.7,62.9,1008.5,2.2
2020,Pre-Season Test 2,20.7,62.9,1008.5,2.2
2020,Austrian Grand Prix,27.5,35.1,939.4,1.7
2020,Styrian Grand Prix,19.4,36.2,946.1,1.1
2020,Hungarian Grand Prix,20.4,79.5,986.6,1.5
2020,British Grand Prix,20.8,44.6,998.6,3.2
2020,70th Anniversary Grand Prix,23.7,63.0,1001.4,2.3
2020,Spanish Grand Prix,28.8,58.3,998.0,0.9
2020,Belgian Grand Prix,17.5,60.4,962.5,1.0
2020,Italian Grand Prix,27.8,40.0,991.4,2.3
2020,Tuscan Grand Prix,30.2,39.0,993.7,2.1
2020,Russian Grand Prix,28.5,52.1,1012.5,2.7
2020,Eifel Grand Prix,9.0,59.2,947.4,2.7
2020,Portuguese Grand Prix,20.7,62.9,1008.5,2.2
2020,Emilia Romagna Grand Prix,16.9,74.2,1018.2,0.5
2020,Turkish Grand Prix,12.4,87.2,1008.9,0.5
2020,Bahrain Grand Prix,26.5,60.9,1015.1,0.5
2020,Sakhir Grand Prix,22.0,57.7,1015.4,2.1
2020,Abu Dhabi Grand Prix,23.7,50.7,1015.5,1.6
2021,Pre-Season Test,23.9,63.6,960.9,0.8
2021,Bahrain Grand Prix,20.9,56.4,1014.8,1.0
2021,Emilia Romagna Grand Prix,9.8,68.7,1011.7,0.2
2021,Portuguese Grand Prix,19.5,38.7,1005.4,0.8
2021,Spanish Grand Prix,22.3,55.0,994.5,0.2
2021,Monaco Grand Prix,20.7,61.3,1015.0,0.1
2021,Azerbaijan Grand Prix,25.4,48.0,1015.5,0.3
2021,French Grand Prix,23.9,63.6,960.9,0.8
2021,Styrian Grand Prix,26.6,34.1,938.7,0.4
2021,Austrian Grand Prix,19.0,58.3,935.8,0.1
2021,British Grand Prix,28.4,41.3,1007.7,0.3
2021,Hungarian Grand Prix,29.1,55.5,978.6,0.9
2021,Belgian Grand Prix,12.5,95.6,970.8,0.9
2021,Dutch Grand Prix,20.4,56.6,1021.8,0.9
2021,Italian Grand Prix,28.3,38.7,995.1,0.3
2021,Russian Grand Prix,19.1,60.5,1023.5,0.3
2021,Turkish Grand Prix,15.5,95.5,1006.5,0.7
2021,United States Grand Prix,26.4,72.5,993.4,0.8
2021,Mexico City Grand Prix,19.2,36.6,785.7,0.3
2021,S�o Paulo Grand Prix,23.9,56.7,927.1,0.3
2021,Qatar Grand Prix,27.4,69.1,1011.6,0.3
2021,Saudi Arabian Grand Prix,28.8,76.0,1013.3,0.2
2021,Abu Dhabi Grand Prix,25.6,53.5,1017.3,0.7
2022,Pre-Season Track Session,26.0,48.0,1014.5,2.9
2022,Pre-Season Test,29.7,47.0,968.2,0.8
2022,Bahrain Grand Prix,25.6,17.0,1010.2,0.5
2022,Saudi Arabian Grand Prix,25.3,64.0,1012.0,2.5
2022,Australian Grand Prix,26.0,48.0,1014.5,2.9
2022,Emilia Romagna Grand Prix,11.1,91.0,1001.7,1.7
2022,Miami Grand Prix,31.7,49.0,1010.0,3.5
2022,Spanish Grand Prix,36.3,8.0,996.9,3.2
2022,Monaco Grand Prix,24.2,68.0,1002.9,0.8
2022,Azerbaijan Grand Prix,25.7,56.0,1010.7,0.8
2022,Canadian Grand Prix,19.1,32.0,1012.7,3.9
2022,British Grand Prix,19.1,55.0,1001.9,1.2
2022,Austrian Grand Prix,20.0,36.0,939.5,1.5
2022,French Grand Prix,29.7,47.0,968.2,0.8
2022,Hungarian Grand Prix,19.0,68.0,985.2,3.4
2022,Belgian Grand Prix,20.8,48.0,971.4,1.2
2022,Dutch Grand Prix,22.7,72.0,1016.7,0.8
2022,Italian Grand Prix,26.6,38.0,994.0,0.6
2022,Singapore Grand Prix,25.2,90.0,1007.7,0.8
2022,Japanese Grand Prix,19.0,71.0,1016.0,0.0
2022,United States Grand Prix,28.5,52.0,992.7,6.0
2022,Mexico City Grand Prix,22.8,41.0,781.7,1.7
2022,S�o Paulo Grand Prix,25.1,69.0,922.4,2.7
2022,Abu Dhabi Grand Prix,29.7,59.0,1013.0,4.0